id,name,latitude,longitude,listing_url
6131224,Hidden Gem in Boston: Long Term 1 Month + Only,42.2619,-71.11315,https://www.airbnb.com/rooms/6131224
6214710,Small studio in GREAT location,42.35262,-71.07899,https://www.airbnb.com/rooms/6214710
6238463,Pvt tree top suite in great location,42.31583,-71.11448,https://www.airbnb.com/rooms/6238463
6261296,"Free parking, 1 private room, 1 queen Bed",42.28951,-71.15657,https://www.airbnb.com/rooms/6261296
6377998,"Family friendly Victorian home, walk to T",42.31584,-71.09932,https://www.airbnb.com/rooms/6377998
6426364,Great city views top floor one bed #7,42.34144,-71.0763,https://www.airbnb.com/rooms/6426364
6465075,Spacious 5BR Condo w/parking near METRO,42.29828,-71.11048,https://www.airbnb.com/rooms/6465075
6489209,"Large room, excellent access, 27 Dexter Street",42.33034,-71.05802,https://www.airbnb.com/rooms/6489209
6544267,Urban Oasis / Apartment perfect for work & create,42.32932,-71.08925,https://www.airbnb.com/rooms/6544267
6603827,Cozy private room near bus stop,42.28411,-71.11693,https://www.airbnb.com/rooms/6603827
6609546,Beautiful Waterfront Location.,42.34791,-71.04196,https://www.airbnb.com/rooms/6609546
6646604,"Sunny renovated 1 bed, near BC,BU",42.34118,-71.14678,https://www.airbnb.com/rooms/6646604
6690605,Renovated Boston Apartment,42.37639,-71.06389,https://www.airbnb.com/rooms/6690605
6746543,Cool Top Floor 1 Bedroom Penthouse,42.34991,-71.06164,https://www.airbnb.com/rooms/6746543
6758443,"Stylish Downtown Studio in the SouthEnd, C.Ave# 45",42.34441,-71.07633,https://www.airbnb.com/rooms/6758443
6758462,"Stylish Downtown Studio in the SouthEnd, C.Ave# 43",42.34441,-71.07633,https://www.airbnb.com/rooms/6758462
6758482,"Stylish Downtown Studio in the SouthEnd, C.Ave# 1",42.34447,-71.07644,https://www.airbnb.com/rooms/6758482
6759004,Stylish & Comfortable Newbury St Studio; #10,42.34982,-71.08264,https://www.airbnb.com/rooms/6759004
6759439,South End Studio Perfect for Work Travel #26,42.34441,-71.07633,https://www.airbnb.com/rooms/6759439
6762011,"Heart of South End, Convenient, Comfy Studio #22",42.34441,-71.07633,https://www.airbnb.com/rooms/6762011
6763409,"Charming Studio in Boston Brownstone, C.Ave#5",42.34447,-71.07644,https://www.airbnb.com/rooms/6763409
6780077,"Treetop and Ocean view, safe, near metro",42.31392,-71.06137,https://www.airbnb.com/rooms/6780077
6800522,"Small room Easy to Downtown, Longwood Clean Sunny",42.31676,-71.08,https://www.airbnb.com/rooms/6800522
6810723,"South End Studio, Ideal for Boston Travelers..# 23",42.34441,-71.07633,https://www.airbnb.com/rooms/6810723
6819620,Renovated Parking EZ to downtown,42.31676,-71.08,https://www.airbnb.com/rooms/6819620
6843795,A Fenway Getaway,42.34512,-71.09479,https://www.airbnb.com/rooms/6843795
6851459,"Stylish Downtown Studio in the SouthEnd, C.Ave# 31",42.34441,-71.07633,https://www.airbnb.com/rooms/6851459
6851460,"Stylish Studio in Boston Brownstone, C.Ave# 21",42.34441,-71.07633,https://www.airbnb.com/rooms/6851460
6862594,"Beautiful Home in Jamaica Plain, MA",42.31927,-71.11325,https://www.airbnb.com/rooms/6862594
6879036,Stylish Studio on Newbury St; #3,42.34982,-71.08264,https://www.airbnb.com/rooms/6879036
6882615,"City Living with a View, Newbury St; #4",42.34979,-71.08262,https://www.airbnb.com/rooms/6882615
6908525,"Stylish Studio on Newbury St, THIS IS BOSTON!; #12",42.34982,-71.08264,https://www.airbnb.com/rooms/6908525
6914155,Spacious bedroom close to downtown,42.315,-71.0564,https://www.airbnb.com/rooms/6914155
6914622,"Exquisite Treetop Haven, JP Center, Driveway!",42.30849,-71.11721,https://www.airbnb.com/rooms/6914622
